product,price,quantity,sales,date
Laptop,1200,5,6000,2024-01-15
Mouse,25,20,500,2024-01-16
Keyboard,80,10,800,2024-01-17
Monitor,300,8,2400,2024-01-18
Headphones,150,15,2250,2024-01-19
Tablet,500,6,3000,2024-01-20
Phone,800,12,9600,2024-01-21
Speaker,120,25,3000,2024-01-22
Camera,400,7,2800,2024-01-23
Printer,200,4,800,2024-01-24
Scanner,150,6,900,2024-01-25
Microphone,80,18,1440,2024-01-26
Webcam,60,30,1800,2024-01-27
Router,120,12,1440,2024-01-28
Cable,15,50,750,2024-01-29
Charger,30,40,1200,2024-01-30
Case,45,35,1575,2024-01-31
Stand,35,22,770,2024-02-01
Screen,180,9,1620,2024-02-02
Adapter,25,28,700,2024-02-03
