product,price,quantity
Noise Cancelling Headphones,891,51
Bluetooth Speaker,404,20
Camping Tent,830,10
Smart Thermostat,476,59
Fitness Bike,859,6
Camping Stove,215,24
Hair Dryer,1068,18
Dishwasher,918,6
Vacuum Cleaner,1137,55
Smart TV,320,51
Air Fryer,77,13
Refrigerator,858,14
Washing Machine,1014,27
Security Camera,971,18
Camera Lens,1257,25
Handheld Vacuum,533,26
Electric Piano,223,2
Jump Rope,370,3
Gaming Keyboard,1237,46
Laptop,440,5
Electric Scooter,1020,58
Smartwatch,776,55
External HDD,33,5
Tablet,381,43
Dehumidifier,1207,57
Portable Charger,543,10
Resistance Bands,53,42
Smartphone,790,51
Amplifier,594,58
Guitar,1078,32
Wireless Mouse,798,41
Microphone,876,37
Portable Grill,1489,39
Phone,490,29
Projector Screen,620,35
Electric Violin,358,34
Virtual Reality Headset,1184,32
Bicycle,10,12
Keyboard,424,10
Printer,717,18
Portable Projector,438,10
Smart Doorbell,709,7
Home Speaker,650,41
VR Gloves,823,60
Electric Razor,562,26
Sports Camera,454,19
Webcam,800,35
Smart Watch Band,1420,7
Projector,471,28
Game Console,1290,60
Massage Gun,430,54
Portable Speaker,416,42
Power Bank,1076,35
Gaming Mouse,843,13
Exercise Mat,583,38
Mouse,1406,31
Electric Grill,576,15
Shower Head,546,43
Laptop Backpack,616,31
Golf GPS,1231,3
Electric Fan,849,17
Scooter,1225,33
Memory Card,933,27
Smart Mirror,1326,2
Ukulele,581,28
Knee Pads,569,31
E-Bike,1330,30
Bicycle Helmet,1413,20
Electric Skateboard,1031,55
Mobile Case,1232,60
LED Strip Lights,1487,22
Smart Plug,1210,29
Mini Fridge,753,49
Smart Scale,255,49
Hiking Boots,164,43
Laptop Stand,230,51
Action Camera,191,47
Treadmill,965,35
Headphones,821,33
Microwave,180,35
Coffee Maker,371,29
Outdoor Speakers,1029,33
Charger,1131,47
Fan,731,32
Gamepad,1037,6
Wireless Router,92,30
Oven,1010,12
Piano,41,26
Sewing Machine,1235,29
Smart Glasses,992,18
Yoga Mat,83,19
Smartphone Charger,1295,58
Router,106,48
Speakers,1010,60
Tablet Stand,1193,46
Juicer,166,20
Drone,136,17
Air Purifier,371,60
Smart Bulb,230,39
Smart Door Lock,909,42
Bluetooth Earphones,648,10
Wireless Charger,745,60
Iron,979,59
Monitor,541,53
Camera,631,29
Fitness Tracker,1498,10
Smart Lamp,208,29
Blender,1301,7
Airpods,1301,28
Air Conditioner,1246,16
Electric Kettle,708,18
Headset,1282,42
Electric Toothbrush,1360,42
Guitar Stand,1485,17
Smartwatch Charger,648,23
Weight Scale,1283,1
Electric Razor,965,9
Camping Tent,894,40
Microwave,509,34
Resistance Bands,70,18
Electric Scooter,25,52
Air Conditioner,668,34
Blender,248,53
Coffee Maker,569,21
Virtual Reality Headset,331,16
External HDD,181,39
Yoga Mat,609,60
Electric Fan,1491,18
Laptop Stand,1287,35
E-Bike,469,39
Resistance Bands,748,53
Action Camera,802,60
Virtual Reality Headset,1454,21
Smartphone,57,56
Fitness Tracker,423,25
Airpods,1138,18
Bicycle Helmet,1356,23
Refrigerator,528,1
Mouse,745,9
Game Console,351,30
Piano,380,27
Projector,737,55
Electric Toothbrush,238,50
Treadmill,838,5
Webcam,852,47
Smartwatch Charger,1486,56
Smart Watch Band,1391,20
Wireless Router,20,30
Electric Scooter,158,17
Portable Speaker,15,14
Outdoor Speakers,1110,28
Electric Razor,1048,44
Shower Head,735,48
Scooter,746,24
Outdoor Speakers,1099,37
Security Camera,474,48
Projector,1205,20
Treadmill,530,9
Portable Charger,990,57
Ukulele,460,23
Gaming Mouse,1500,16
Printer,264,12
Smart Thermostat,909,45
